Governorate,Cases,Deaths,Recoveries,Active Cases,Date,Today's Cases,Vaccine Ratio,The Proportion Of Fully Vaccinated
#adm1+name,#affected+infected+confirmed,#affected+infected+dead,#affected+infected+recovered,#affected+infected+active,#date,#affected+infected+today,,
Salfit Governorate,1918,8,1365,545,2020-12-07,,,
Tubas Governorate,1389,8,833,548,2020-12-07,,,
Gaza strip,25121,139,14391,10591,2020-12-06,,,
Hebron Governorate,22267,242,20281,1744,2020-12-06,,,
East Jerusalem,13997,94,12824,1079,2020-12-06,,,
Nablus Governorate,10982,100,7126,3756,2020-12-06,,,
Ramallah and al-Bireh Governorate,8871,83,7418,1370,2020-12-06,,,
Bethlehem Governorate,7543,57,5576,1910,2020-12-06,,,
Jenin Governorate,5184,63,3614,1507,2020-12-06,,,
Jerusalem Governorate,4959,34,4465,460,2020-12-06,,,
Tulkarm Governorate,4342,49,3228,1065,2020-12-06,,,
Qalqilya Governorate,3111,31,2338,742,2020-12-06,,,
Jericho Governorate,2422,14,2217,191,2020-12-06,,,
Salfit Governorate,1886,8,1286,592,2020-12-06,,,
Tubas Governorate,1350,8,833,509,2020-12-06,,,
Gaza strip,23023,122,12580,10321,2020-12-03,,,
Hebron Governorate,21725,241,19857,1627,2020-12-03,,,
East Jerusalem,13604,93,12603,908,2020-12-03,,,
Nablus Governorate,10335,96,6747,3492,2020-12-03,,,
Ramallah and al-Bireh Governorate,8422,75,7078,1269,2020-12-03,,,
Bethlehem Governorate,7135,52,5255,1828,2020-12-03,,,
Jerusalem Governorate,4851,34,4287,530,2020-12-03,,,
Jenin Governorate,4754,56,3260,1438,2020-12-03,,,
Tulkarm Governorate,4063,46,3013,1004,2020-12-03,,,
Qalqilya Governorate,3019,30,2197,792,2020-12-03,,,
Jericho Governorate,2404,13,2186,205,2020-12-03,,,
Salfit Governorate,1752,8,1102,642,2020-12-03,,,
Tubas Governorate,1225,7,688,530,2020-12-03,,,
Gaza strip,22196,118,12078,10000,2020-12-02,,,
Hebron Governorate,21459,240,19703,1516,2020-12-02,,,
East Jerusalem,13382,91,12395,896,2020-12-02,,,
Nablus Governorate,10024,93,6523,3408,2020-12-02,,,
Ramallah and al-Bireh Governorate,8230,72,6946,1212,2020-12-02,,,
Bethlehem Governorate,6973,52,5255,1666,2020-12-02,,,
Jerusalem Governorate,4807,34,4287,486,2020-12-02,,,
Jenin Governorate,4412,52,3112,1248,2020-12-02,,,
Tulkarm Governorate,3929,45,2969,915,2020-12-02,,,
Qalqilya Governorate,2955,29,2161,765,2020-12-02,,,
Jericho Governorate,2385,13,2178,194,2020-12-02,,,
Salfit Governorate,1647,8,1089,550,2020-12-02,,,
Tubas Governorate,1175,7,688,480,2020-12-02,,,
Gaza strip,21461,111,11723,9627,2020-12-01,,,
Hebron Governorate,21235,238,19564,1433,2020-12-01,,,
East Jerusalem,13382,91,12395,896,2020-12-01,,,
Nablus Governorate,9703,91,6396,3216,2020-12-01,,,
Ramallah and al-Bireh Governorate,8056,70,6806,1180,2020-12-01,,,
Bethlehem Governorate,6773,52,5255,1466,2020-12-01,,,
Jerusalem Governorate,4737,33,4287,417,2020-12-01,,,
Jenin Governorate,4261,51,3031,1179,2020-12-01,,,
Tulkarm Governorate,3835,44,2924,867,2020-12-01,,,
Qalqilya Governorate,2885,29,2128,728,2020-12-01,,,
Jericho Governorate,2369,13,2167,189,2020-12-01,,,
Salfit Governorate,1550,8,1040,502,2020-12-01,,,
Tubas Governorate,1139,7,617,515,2020-12-01,,,
Hebron Governorate,21009,235,19482,1292,2020-11-30,,,
Gaza strip,20646,102,11318,9226,2020-11-30,,,
East Jerusalem,13203,90,12314,799,2020-11-30,,,
Nablus Governorate,9367,88,6240,3039,2020-11-30,,,
Ramallah and al-Bireh Governorate,7869,70,6722,1077,2020-11-30,,,
Bethlehem Governorate,6574,52,5255,1267,2020-11-30,,,
Jerusalem Governorate,4660,33,4287,340,2020-11-30,,,
Jenin Governorate,4116,51,2940,1125,2020-11-30,,,
Tulkarm Governorate,3711,44,2910,757,2020-11-30,,,
Qalqilya Governorate,2805,29,2111,665,2020-11-30,,,
Jericho Governorate,2358,13,2160,185,2020-11-30,,,
Salfit Governorate,1440,8,991,441,2020-11-30,,,
Tubas Governorate,1092,7,571,514,2020-11-30,,,
Hebron Governorate,20445,228,19143,1074,2020-11-26,,,
Gaza strip,17411,84,9984,7343,2020-11-26,,,
East Jerusalem,12971,87,12229,655,2020-11-26,,,
Nablus Governorate,8518,81,5739,2698,2020-11-26,,,
Ramallah and al-Bireh Governorate,7366,68,6355,943,2020-11-26,,,
Bethlehem Governorate,6161,50,4812,1299,2020-11-26,,,
Jerusalem Governorate,4548,33,4178,337,2020-11-26,,,
Jenin Governorate,3608,42,2666,900,2020-11-26,,,
Tulkarm Governorate,3369,39,2773,557,2020-11-26,,,
Qalqilya Governorate,2626,27,2041,558,2020-11-26,,,
Jericho Governorate,2315,13,2129,173,2020-11-26,,,
Salfit Governorate,1244,8,916,320,2020-11-26,,,
Tubas Governorate,882,7,505,370,2020-11-26,,,
Hebron Governorate,20279,228,19051,1000,2020-11-25,,,
Gaza strip,16755,78,9774,6903,2020-11-25,,,
East Jerusalem,12831,84,12159,588,2020-11-25,,,
Nablus Governorate,8316,79,5697,2540,2020-11-25,,,
Ramallah and al-Bireh Governorate,7198,68,6282,848,2020-11-25,,,
Bethlehem Governorate,6026,49,4673,1304,2020-11-25,,,
Jerusalem Governorate,4518,33,4178,307,2020-11-25,,,
Jenin Governorate,3471,38,2624,809,2020-11-25,,,
Tulkarm Governorate,3305,39,2732,534,2020-11-25,,,
Qalqilya Governorate,2566,26,2014,526,2020-11-25,,,
Jericho Governorate,2308,13,2129,166,2020-11-25,,,
Salfit Governorate,1159,8,851,300,2020-11-25,,,
Tubas Governorate,826,6,494,326,2020-11-25,,,
Hebron Governorate,20102,228,19012,862,2020-11-24,,,
Gaza strip,16142,72,9571,6499,2020-11-24,,,
East Jerusalem,12831,84,12159,588,2020-11-24,,,
Nablus Governorate,8100,78,5637,2385,2020-11-24,,,
Ramallah and al-Bireh Governorate,7067,68,6174,825,2020-11-24,,,
Bethlehem Governorate,5879,48,4673,1158,2020-11-24,,,
Jerusalem Governorate,4474,33,4178,263,2020-11-24,,,
Jenin Governorate,3364,38,2588,738,2020-11-24,,,
Tulkarm Governorate,3210,39,2703,468,2020-11-24,,,
Qalqilya Governorate,2466,25,2014,427,2020-11-24,,,
Jericho Governorate,2296,13,2114,169,2020-11-24,,,
Salfit Governorate,1116,8,851,257,2020-11-24,,,
Tubas Governorate,791,6,494,291,2020-11-24,,,
Hebron Governorate,19936,228,18958,750,2020-11-23,,,
Gaza strip,15457,69,9384,6004,2020-11-23,,,
East Jerusalem,12696,78,12075,543,2020-11-23,,,
Nablus Governorate,7876,78,5565,2233,2020-11-23,,,
Ramallah and al-Bireh Governorate,6921,68,6174,679,2020-11-23,,,
Bethlehem Governorate,5790,45,4673,1072,2020-11-23,,,
Jerusalem Governorate,4436,30,4178,228,2020-11-23,,,
Jenin Governorate,3206,37,2552,617,2020-11-23,,,
Tulkarm Governorate,3112,39,2690,383,2020-11-23,,,
Qalqilya Governorate,2386,25,1976,385,2020-11-23,,,
Jericho Governorate,2273,12,2062,199,2020-11-23,,,
Salfit Governorate,1046,8,836,202,2020-11-23,,,
Tubas Governorate,757,6,490,261,2020-11-23,,,
Hebron Governorate,19798,224,18933,641,2020-11-22,,,
Gaza strip,14768,65,9186,5517,2020-11-22,,,
East Jerusalem,12696,78,12075,543,2020-11-22,,,
Nablus Governorate,7698,78,5456,2164,2020-11-22,,,
Ramallah and al-Bireh Governorate,6837,68,6093,676,2020-11-22,,,
Bethlehem Governorate,5655,45,4673,937,2020-11-22,,,
Jerusalem Governorate,4408,30,4178,200,2020-11-22,,,
Jenin Governorate,3118,37,2516,565,2020-11-22,,,
Tulkarm Governorate,3056,39,2658,359,2020-11-22,,,
Qalqilya Governorate,2330,25,1963,342,2020-11-22,,,
Jericho Governorate,2256,11,2053,192,2020-11-22,,,
Salfit Governorate,993,8,822,163,2020-11-22,,,
Tubas Governorate,727,6,490,231,2020-11-22,,,
Hebron Governorate,19581,216,18797,568,2020-11-19,,,
East Jerusalem,12526,78,11929,519,2020-11-19,,,
Gaza strip,12439,56,8556,3827,2020-11-19,,,
Nablus Governorate,7113,71,5354,1688,2020-11-19,,,
Ramallah and al-Bireh Governorate,6574,65,5945,564,2020-11-19,,,
Bethlehem Governorate,5387,43,4428,916,2020-11-19,,,
Jerusalem Governorate,4357,29,4127,201,2020-11-19,,,
Tulkarm Governorate,2947,38,2611,298,2020-11-19,,,
Jenin Governorate,2867,35,2441,391,2020-11-19,,,
Qalqilya Governorate,2253,24,1914,315,2020-11-19,,,
Jericho Governorate,2218,8,2034,176,2020-11-19,,,
Salfit Governorate,954,8,789,157,2020-11-19,,,
Tubas Governorate,606,5,473,128,2020-11-19,,,
Hebron Governorate,19468,214,18749,505,2020-11-18,,,
East Jerusalem,12385,78,11643,664,2020-11-18,,,
Gaza strip,12071,54,8211,3806,2020-11-18,,,
Nablus Governorate,6875,69,5251,1555,2020-11-18,,,
Ramallah and al-Bireh Governorate,6484,65,5909,510,2020-11-18,,,
Bethlehem Governorate,5319,43,4428,848,2020-11-18,,,
Jerusalem Governorate,4331,29,4127,175,2020-11-18,,,
Tulkarm Governorate,2913,38,2592,283,2020-11-18,,,
Jenin Governorate,2775,34,2396,345,2020-11-18,,,
Qalqilya Governorate,2236,22,1914,300,2020-11-18,,,
Jericho Governorate,2210,8,2025,177,2020-11-18,,,
Salfit Governorate,935,8,773,154,2020-11-18,,,
Tubas Governorate,569,5,468,96,2020-11-18,,,
Hebron Governorate,19370,213,18668,489,2020-11-17,,,
East Jerusalem,12385,78,11643,664,2020-11-17,,,
Gaza strip,11471,50,7876,3545,2020-11-17,,,
Nablus Governorate,6697,69,4874,1754,2020-11-17,,,
Ramallah and al-Bireh Governorate,6403,65,5861,477,2020-11-17,,,
Bethlehem Governorate,5214,43,4199,972,2020-11-17,,,
Jerusalem Governorate,4300,29,4127,144,2020-11-17,,,
Tulkarm Governorate,2880,36,2558,286,2020-11-17,,,
Jenin Governorate,2719,32,2372,315,2020-11-17,,,
Qalqilya Governorate,2215,22,1901,292,2020-11-17,,,
Jericho Governorate,2200,8,2025,167,2020-11-17,,,
Salfit Governorate,915,8,765,142,2020-11-17,,,
Tubas Governorate,551,5,458,88,2020-11-17,,,
Hebron Governorate,19277,213,18612,452,2020-11-16,,,
East Jerusalem,12295,75,11600,620,2020-11-16,,,
Gaza strip,10985,48,7571,3366,2020-11-16,,,
Nablus Governorate,6542,67,4736,1739,2020-11-16,,,
Ramallah and al-Bireh Governorate,6327,64,5821,442,2020-11-16,,,
Bethlehem Governorate,5116,43,4044,1029,2020-11-16,,,
Jerusalem Governorate,4264,28,4127,109,2020-11-16,,,
Tulkarm Governorate,2846,36,2552,258,2020-11-16,,,
Jenin Governorate,2671,30,2353,288,2020-11-16,,,
Qalqilya Governorate,2203,22,1896,285,2020-11-16,,,
Jericho Governorate,2193,8,2025,160,2020-11-16,,,
Salfit Governorate,904,8,758,138,2020-11-16,,,
Tubas Governorate,539,5,458,76,2020-11-16,,,
Hebron Governorate,19234,212,18606,416,2020-11-15,,,
East Jerusalem,12295,75,11600,620,2020-11-15,,,
Gaza strip,10532,48,7261,3223,2020-11-15,,,
Nablus Governorate,6427,64,4709,1654,2020-11-15,,,
Ramallah and al-Bireh Governorate,6289,64,5695,530,2020-11-15,,,
Bethlehem Governorate,5055,42,3963,1050,2020-11-15,,,
Jerusalem Governorate,4249,28,4127,94,2020-11-15,,,
Tulkarm Governorate,2810,36,2539,235,2020-11-15,,,
Jenin Governorate,2651,29,2341,281,2020-11-15,,,
Qalqilya Governorate,2190,22,1878,290,2020-11-15,,,
Jericho Governorate,2185,8,2025,152,2020-11-15,,,
Salfit Governorate,880,7,752,121,2020-11-15,,,
Tubas Governorate,529,5,450,74,2020-11-15,,,
Hebron Governorate,19155,210,18510,435,2020-11-13,,,
East Jerusalem,12183,75,11570,538,2020-11-13,,,
Gaza strip,9816,45,6673,3098,2020-11-13,,,
Nablus Governorate,6188,61,4647,1480,2020-11-13,,,
Ramallah and al-Bireh Governorate,6139,62,5695,382,2020-11-13,,,
Bethlehem Governorate,4997,40,3963,994,2020-11-13,,,
Jerusalem Governorate,4226,27,4049,150,2020-11-13,,,
Tulkarm Governorate,2754,35,2493,226,2020-11-13,,,
Jenin Governorate,2579,26,2282,271,2020-11-13,,,
Jericho Governorate,2158,8,2025,125,2020-11-13,,,
Qalqilya Governorate,2130,22,1860,248,2020-11-13,,,
Salfit Governorate,855,7,733,115,2020-11-13,,,
Tubas Governorate,517,5,437,75,2020-11-13,,,
Hebron Governorate,19067,209,18410,448,2020-11-11,,,
East Jerusalem,12079,74,11548,457,2020-11-11,,,
Gaza strip,9231,43,6136,3052,2020-11-11,,,
Ramallah and al-Bireh Governorate,6039,62,5600,377,2020-11-11,,,
Nablus Governorate,5911,60,4413,1438,2020-11-11,,,
Bethlehem Governorate,4852,40,3963,849,2020-11-11,,,
Jerusalem Governorate,4193,27,4049,117,2020-11-11,,,
Tulkarm Governorate,2707,31,2437,239,2020-11-11,,,
Jenin Governorate,2524,24,2202,298,2020-11-11,,,
Jericho Governorate,2135,8,2025,102,2020-11-11,,,
Qalqilya Governorate,2090,22,1846,222,2020-11-11,,,
Salfit Governorate,805,7,712,86,2020-11-11,,,
Tubas Governorate,511,5,433,73,2020-11-11,,,
Hebron Governorate,18971,209,18271,491,2020-11-09,,,
East Jerusalem,12003,72,11508,423,2020-11-09,,,
Gaza strip,8740,39,5687,3014,2020-11-09,,,
Ramallah and al-Bireh Governorate,5944,58,5533,353,2020-11-09,,,
Nablus Governorate,5668,59,4157,1452,2020-11-09,,,
Bethlehem Governorate,4761,39,3728,994,2020-11-09,,,
Jerusalem Governorate,4180,23,4049,108,2020-11-09,,,
Tulkarm Governorate,2664,31,2399,234,2020-11-09,,,
Jenin Governorate,2456,22,2119,315,2020-11-09,,,
Jericho Governorate,2125,7,1974,144,2020-11-09,,,
Qalqilya Governorate,2060,22,1842,196,2020-11-09,,,
Salfit Governorate,769,7,686,76,2020-11-09,,,
Tubas Governorate,500,5,432,63,2020-11-09,,,
Hebron Governorate,18727,206,17962,559,2020-11-04,,,
East Jerusalem,11828,72,11458,298,2020-11-04,,,
Gaza strip,7512,37,4677,2798,2020-11-04,,,
Ramallah and al-Bireh Governorate,5766,53,5277,436,2020-11-04,,,
Nablus Governorate,5214,58,3865,1291,2020-11-04,,,
Bethlehem Governorate,4544,39,3618,887,2020-11-04,,,
Jerusalem Governorate,4141,23,3956,162,2020-11-04,,,
Tulkarm Governorate,2582,29,2267,286,2020-11-04,,,
Jenin Governorate,2329,20,1973,336,2020-11-04,,,
Jericho Governorate,2073,7,1822,244,2020-11-04,,,
Qalqilya Governorate,1994,21,1807,166,2020-11-04,,,
Salfit Governorate,739,7,588,144,2020-11-04,,,
Tubas Governorate,468,4,412,52,2020-11-04,,,
Hebron Governorate,18673,206,17829,638,2020-11-03,,,
East Jerusalem,11776,72,11412,292,2020-11-03,,,
Gaza strip,7231,37,4547,2647,2020-11-03,,,
Ramallah and al-Bireh Governorate,5725,53,5277,395,2020-11-03,,,
Nablus Governorate,5082,57,3764,1261,2020-11-03,,,
Bethlehem Governorate,4494,38,3618,838,2020-11-03,,,
Jerusalem Governorate,4121,23,3956,142,2020-11-03,,,
Tulkarm Governorate,2546,28,2224,294,2020-11-03,,,
Jenin Governorate,2287,20,1927,340,2020-11-03,,,
Jericho Governorate,2064,7,1822,235,2020-11-03,,,
Qalqilya Governorate,1988,21,1800,167,2020-11-03,,,
Salfit Governorate,734,7,574,153,2020-11-03,,,
Tubas Governorate,463,4,406,53,2020-11-03,,,
Hebron Governorate,18464,202,17540,722,2020-10-30,,,
East Jerusalem,11666,72,11338,256,2020-10-30,,,
Gaza strip,6347,33,3937,2377,2020-10-30,,,
Ramallah and al-Bireh Governorate,5515,50,5067,398,2020-10-30,,,
Nablus Governorate,4608,54,3596,958,2020-10-30,,,
Bethlehem Governorate,4348,37,3505,806,2020-10-30,,,
Jerusalem Governorate,4091,23,3858,210,2020-10-30,,,
Tulkarm Governorate,2451,25,2075,351,2020-10-30,,,
Jenin Governorate,2142,19,1829,294,2020-10-30,,,
Jericho Governorate,2004,7,1822,175,2020-10-30,,,
Qalqilya Governorate,1959,21,1742,196,2020-10-30,,,
Salfit Governorate,697,6,533,158,2020-10-30,,,
Tubas Governorate,449,4,392,53,2020-10-30,,,
Hebron Governorate,18331,199,17393,739,2020-10-27,,,
East Jerusalem,11636,71,11267,298,2020-10-27,,,
Gaza strip,5793,31,3583,2179,2020-10-27,,,
Ramallah and al-Bireh Governorate,5394,44,4898,452,2020-10-27,,,
Nablus Governorate,4349,51,3378,920,2020-10-27,,,
Bethlehem Governorate,4213,35,3390,788,2020-10-27,,,
Jerusalem Governorate,4059,23,3781,255,2020-10-27,,,
Tulkarm Governorate,2383,23,1905,455,2020-10-27,,,
Jenin Governorate,2035,17,1732,286,2020-10-27,,,
Jericho Governorate,1949,6,1822,121,2020-10-27,,,
Qalqilya Governorate,1943,21,1661,261,2020-10-27,,,
Salfit Governorate,639,5,522,112,2020-10-27,,,
Tubas Governorate,440,3,379,58,2020-10-27,,,
Hebron Governorate,18267,199,17335,733,2020-10-26,,,
East Jerusalem,11636,71,11267,298,2020-10-26,,,
Gaza strip,5594,31,3483,2080,2020-10-26,,,
Ramallah and al-Bireh Governorate,5352,44,4898,410,2020-10-26,,,
Nablus Governorate,4261,50,3323,888,2020-10-26,,,
Bethlehem Governorate,4179,35,3390,754,2020-10-26,,,
Jerusalem Governorate,4032,21,3781,230,2020-10-26,,,
Tulkarm Governorate,2345,23,1905,417,2020-10-26,,,
Jenin Governorate,1998,17,1705,276,2020-10-26,,,
Qalqilya Governorate,1939,21,1661,257,2020-10-26,,,
Jericho Governorate,1927,6,1687,234,2020-10-26,,,
Salfit Governorate,622,4,514,104,2020-10-26,,,
Tubas Governorate,436,3,373,60,2020-10-26,,,
Hebron Governorate,18217,198,17270,749,2020-10-25,,,
East Jerusalem,11604,71,11075,458,2020-10-25,,,
Gaza strip,5442,31,3398,2013,2020-10-25,,,
Ramallah and al-Bireh Governorate,5304,44,4898,362,2020-10-25,,,
Nablus Governorate,4166,49,3255,862,2020-10-25,,,
Bethlehem Governorate,4125,35,3257,833,2020-10-25,,,
Jerusalem Governorate,4016,20,3781,215,2020-10-25,,,
Tulkarm Governorate,2320,23,1844,453,2020-10-25,,,
Jenin Governorate,1965,17,1680,268,2020-10-25,,,
Qalqilya Governorate,1933,20,1651,262,2020-10-25,,,
Jericho Governorate,1914,5,1687,222,2020-10-25,,,
Salfit Governorate,608,3,502,103,2020-10-25,,,
Tubas Governorate,432,3,369,60,2020-10-25,,,
Hebron Governorate,18147,196,17153,798,2020-10-23,,,
East Jerusalem,11604,71,11075,458,2020-10-23,,,
Ramallah and al-Bireh Governorate,5233,43,4773,417,2020-10-23,,,
Gaza strip,5175,30,3208,1937,2020-10-23,,,
Bethlehem Governorate,4045,34,3142,869,2020-10-23,,,
Jerusalem Governorate,3998,20,3781,197,2020-10-23,,,
Nablus Governorate,3991,49,3229,713,2020-10-23,,,
Tulkarm Governorate,2265,22,1796,447,2020-10-23,,,
Jenin Governorate,1927,15,1643,269,2020-10-23,,,
Jericho Governorate,1902,5,1687,210,2020-10-23,,,
Qalqilya Governorate,1897,20,1610,267,2020-10-23,,,
Salfit Governorate,576,2,486,88,2020-10-23,,,
Tubas Governorate,423,3,342,78,2020-10-23,,,
Hebron Governorate,18032,194,17065,773,2020-10-21,,,
East Jerusalem,11536,71,11027,438,2020-10-21,,,
Ramallah and al-Bireh Governorate,5124,40,4773,311,2020-10-21,,,
Gaza strip,4955,28,2993,1934,2020-10-21,,,
Bethlehem Governorate,3969,33,3015,921,2020-10-21,,,
Jerusalem Governorate,3955,19,3781,155,2020-10-21,,,
Nablus Governorate,3811,48,3183,580,2020-10-21,,,
Tulkarm Governorate,2204,22,1530,652,2020-10-21,,,
Qalqilya Governorate,1881,19,1582,280,2020-10-21,,,
Jericho Governorate,1866,4,1687,175,2020-10-21,,,
Jenin Governorate,1856,15,1538,303,2020-10-21,,,
Salfit Governorate,554,2,469,83,2020-10-21,,,
Tubas Governorate,421,3,319,99,2020-10-21,,,
Hebron Governorate,17972,193,17001,778,2020-10-20,,,
East Jerusalem,11466,71,10945,450,2020-10-20,,,
Ramallah and al-Bireh Governorate,5084,38,4675,371,2020-10-20,,,
Gaza strip,4821,28,2900,1893,2020-10-20,,,
Jerusalem Governorate,3928,19,3781,128,2020-10-20,,,
Bethlehem Governorate,3919,33,3015,871,2020-10-20,,,
Nablus Governorate,3732,45,3106,581,2020-10-20,,,
Tulkarm Governorate,2166,22,1530,614,2020-10-20,,,
Qalqilya Governorate,1862,19,1576,267,2020-10-20,,,
Jericho Governorate,1854,4,1610,240,2020-10-20,,,
Jenin Governorate,1826,15,1473,338,2020-10-20,,,
Salfit Governorate,546,2,469,75,2020-10-20,,,
Tubas Governorate,419,3,319,97,2020-10-20,,,
Hebron Governorate,17918,192,16925,801,2020-10-19,,,
East Jerusalem,11466,71,10945,450,2020-10-19,,,
Ramallah and al-Bireh Governorate,5015,36,4675,304,2020-10-19,,,
Gaza strip,4722,27,2800,1895,2020-10-19,,,
Jerusalem Governorate,3910,18,3642,250,2020-10-19,,,
Bethlehem Governorate,3863,32,2874,957,2020-10-19,,,
Nablus Governorate,3643,44,3024,575,2020-10-19,,,
Tulkarm Governorate,2110,22,1530,558,2020-10-19,,,
Jericho Governorate,1847,4,1610,233,2020-10-19,,,
Qalqilya Governorate,1841,19,1570,252,2020-10-19,,,
Jenin Governorate,1800,14,1432,354,2020-10-19,,,
Salfit Governorate,536,2,461,73,2020-10-19,,,
Tubas Governorate,411,3,318,90,2020-10-19,,,
Hebron Governorate,17753,188,16700,865,2020-10-16,,,
East Jerusalem,11404,70,10736,598,2020-10-16,,,
Ramallah and al-Bireh Governorate,4936,35,4506,395,2020-10-16,,,
Gaza strip,4440,26,2652,1762,2020-10-16,,,
Jerusalem Governorate,3870,18,3642,210,2020-10-16,,,
Bethlehem Governorate,3732,30,2798,904,2020-10-16,,,
Nablus Governorate,3472,43,2906,523,2020-10-16,,,
Tulkarm Governorate,1995,21,1484,490,2020-10-16,,,
Jericho Governorate,1798,4,1610,184,2020-10-16,,,
Qalqilya Governorate,1796,19,1513,264,2020-10-16,,,
Jenin Governorate,1722,13,1352,357,2020-10-16,,,
Salfit Governorate,523,2,446,75,2020-10-16,,,
Tubas Governorate,397,3,312,82,2020-10-16,,,
Hebron Governorate,17718,187,16556,975,2020-10-15,,,
East Jerusalem,11341,70,10630,641,2020-10-15,,,
Ramallah and al-Bireh Governorate,4900,35,4506,359,2020-10-15,,,
Gaza strip,4366,26,2602,1738,2020-10-15,,,
Jerusalem Governorate,3860,18,3642,200,2020-10-15,,,
Bethlehem Governorate,3698,30,2798,870,2020-10-15,,,
Nablus Governorate,3437,43,2855,539,2020-10-15,,,
Tulkarm Governorate,1952,21,1441,490,2020-10-15,,,
Qalqilya Governorate,1778,19,1499,260,2020-10-15,,,
Jericho Governorate,1774,4,1610,160,2020-10-15,,,
Jenin Governorate,1702,13,1318,371,2020-10-15,,,
Salfit Governorate,523,2,446,75,2020-10-15,,,
Tubas Governorate,392,3,312,77,2020-10-15,,,
Hebron Governorate,17643,185,16493,965,2020-10-14,,,
East Jerusalem,11341,70,10630,641,2020-10-14,,,
Ramallah and al-Bireh Governorate,4859,34,4476,349,2020-10-14,,,
Gaza strip,4285,26,2522,1737,2020-10-14,,,
Jerusalem Governorate,3849,18,3642,189,2020-10-14,,,
Bethlehem Governorate,3640,30,2798,812,2020-10-14,,,
Nablus Governorate,3388,43,2839,506,2020-10-14,,,
Tulkarm Governorate,1905,19,1395,491,2020-10-14,,,
Qalqilya Governorate,1757,19,1491,247,2020-10-14,,,
Jericho Governorate,1754,3,1610,141,2020-10-14,,,
Jenin Governorate,1674,12,1286,376,2020-10-14,,,
Salfit Governorate,518,1,444,73,2020-10-14,,,
Tubas Governorate,386,3,308,75,2020-10-14,,,
Hebron Governorate,17583,184,16390,1009,2020-10-13,,,
East Jerusalem,11267,68,10491,708,2020-10-13,,,
Ramallah and al-Bireh Governorate,4826,34,4447,345,2020-10-13,,,
Gaza strip,4175,26,2427,1722,2020-10-13,,,
Jerusalem Governorate,3838,18,3642,178,2020-10-13,,,
Bethlehem Governorate,3608,29,2798,781,2020-10-13,,,
Nablus Governorate,3340,43,2768,529,2020-10-13,,,
Tulkarm Governorate,1862,19,1354,489,2020-10-13,,,
Jericho Governorate,1746,3,1517,226,2020-10-13,,,
Qalqilya Governorate,1732,19,1485,228,2020-10-13,,,
Jenin Governorate,1619,12,1264,343,2020-10-13,,,
Salfit Governorate,503,1,443,59,2020-10-13,,,
Tubas Governorate,368,3,306,59,2020-10-13,,,
Hebron Governorate,17516,183,16318,1015,2020-10-12,,,
East Jerusalem,11267,68,10491,708,2020-10-12,,,
Ramallah and al-Bireh Governorate,4795,34,4171,590,2020-10-12,,,
Gaza strip,4102,24,2350,1728,2020-10-12,,,
Jerusalem Governorate,3821,18,3642,161,2020-10-12,,,
Bethlehem Governorate,3554,28,2759,767,2020-10-12,,,
Nablus Governorate,3287,43,2725,519,2020-10-12,,,
Tulkarm Governorate,1758,19,1325,414,2020-10-12,,,
Qalqilya Governorate,1724,19,1475,230,2020-10-12,,,
Jericho Governorate,1720,3,1502,215,2020-10-12,,,
Jenin Governorate,1565,12,1221,332,2020-10-12,,,
Salfit Governorate,489,1,438,50,2020-10-12,,,
Tubas Governorate,353,3,302,48,2020-10-12,,,
Gaza strip,3751,24,2184,1543,2020-10-07,,,
Hebron Governorate,17297,174,16046,1077,2020-10-07,,,
City of Jerusalem,11099,63,9967,1069,2020-10-07,,,
Bethlehem Governorate,3403,25,2646,732,2020-10-07,,,
Nablus Governorate,3190,39,2483,668,2020-10-07,,,
Suburbs of Jerusalem ,3791,17,3272,502,2020-10-07,,,
Ramallah and Al-Bireh ,4674,30,4171,473,2020-10-07,,,
Tulkarm Governorate,1644,14,1185,445,2020-10-07,,,
Jenin Governorate,1404,10,1040,354,2020-10-07,,,
Jericho Governorate,1643,3,1409,231,2020-10-07,,,
Qalqilya Governorate,1664,19,1434,211,2020-10-07,,,
Salfit Governorate,463,1,419,43,2020-10-07,,,
Tubas Governorate,332,3,295,34,2020-10-07,,,
Hebron Governorate,16990,162,15647,1181,2020-10-04,,,
East Jerusalem,10935,61,9665,1209,2020-10-04,,,
Ramallah and al-Bireh Governorate,4526,27,4043,456,2020-10-04,,,
Jerusalem Governorate,3738,17,3202,519,2020-10-04,,,
Gaza strip,3354,22,1936,1396,2020-10-04,,,
Bethlehem Governorate,3202,23,2576,603,2020-10-04,,,
Nablus Governorate,3031,37,2208,786,2020-10-04,,,
Qalqilya Governorate,1626,19,1043,564,2020-10-04,,,
Jericho Governorate,1546,3,1399,144,2020-10-04,,,
Tulkarm Governorate,1437,8,1033,396,2020-10-04,,,
Jenin Governorate,1270,8,952,310,2020-10-04,,,
Salfit Governorate,452,1,371,80,2020-10-04,,,
Tubas Governorate,326,3,288,35,2020-10-04,,,
Hebron Governorate,16876,160,15376,1340,2020-10-02,,,
East Jerusalem,10841,58,9600,1183,2020-10-02,,,
Ramallah and al-Bireh Governorate,4475,25,3416,1034,2020-10-02,,,
Jerusalem Governorate,3720,16,2986,718,2020-10-02,,,
Gaza strip,3184,22,1765,1397,2020-10-02,,,
Bethlehem Governorate,3132,23,2383,726,2020-10-02,,,
